service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
000202,0,0,0,0,0,0,0,20210318,20210617
000203,0,0,0,0,0,0,0,20210318,20210617
000204,0,0,0,0,0,0,0,20210318,20210617
000205,0,0,0,0,0,0,0,20210318,20210617
000206,0,0,0,0,0,0,0,20210318,20210617
000207,0,0,0,0,0,0,0,20210318,20210617
000208,0,0,0,0,0,0,0,20210318,20210617
000209,0,0,0,0,0,0,0,20210318,20210617
000210,0,0,0,0,0,0,0,20210318,20210617
000211,0,0,0,0,0,0,0,20210318,20210617
000212,0,0,0,0,0,0,0,20210318,20210617
000213,0,0,0,0,0,0,0,20210318,20210617
000214,0,0,0,0,0,0,0,20210318,20210617
000215,0,0,0,0,0,0,0,20210318,20210617
000216,0,0,0,0,0,0,0,20210318,20210617
000217,0,0,0,0,0,0,0,20210318,20210617
000218,0,0,0,0,0,0,0,20210318,20210617
000219,0,0,0,0,0,0,0,20210318,20210617
000220,0,0,0,0,0,0,0,20210318,20210617
000221,0,0,0,0,0,0,0,20210318,20210617
000222,0,0,0,0,0,0,0,20210318,20210617
000223,0,0,0,0,0,0,0,20210318,20210617
000224,0,0,0,0,0,0,0,20210318,20210617
000225,0,0,0,0,0,0,0,20210318,20210617
000226,0,0,0,0,0,0,0,20210318,20210617
000227,0,0,0,0,0,0,0,20210318,20210617
000228,0,0,0,0,0,0,0,20210318,20210617
000229,0,0,0,0,0,0,0,20210318,20210617
000230,0,0,0,0,0,0,0,20210318,20210617
000231,0,0,0,0,0,0,0,20210318,20210617
000232,0,0,0,0,0,0,0,20210318,20210617
000233,0,0,0,0,0,0,0,20210318,20210617
000234,0,0,0,0,0,0,0,20210318,20210617
000235,0,0,0,0,0,0,0,20210318,20210617
000236,0,0,0,0,0,0,0,20210318,20210617
000237,0,0,0,0,0,0,0,20210318,20210617
000238,0,0,0,0,0,0,0,20210318,20210617
000239,0,0,0,0,0,0,0,20210318,20210617
000240,0,0,0,0,0,0,0,20210318,20210617
000241,0,0,0,0,0,0,0,20210318,20210617
000242,0,0,0,0,0,0,0,20210318,20210617
000243,0,0,0,0,0,0,0,20210318,20210617
000244,0,0,0,0,0,0,0,20210318,20210617
000245,0,0,0,0,0,0,0,20210318,20210617
000246,0,0,0,0,0,0,0,20210318,20210617
000247,0,0,0,0,0,0,0,20210318,20210617
